age,educ,black,hisp,married,re74,re75,unem75,unem74,agesq,avgre,travgre,unem78,em78,Z_voucher,treat_itemC,re78_c
37,11,1,0,1,0,0,1,1,1369,0,0,0,1,1,1,12.180779
30,12,1,0,0,0,0,1,1,900,0,0,0,1,1,1,9.6045551
27,11,1,0,0,0,0,1,1,729,0,0,0,1,1,1,0
33,8,1,0,0,0,0,1,1,1089,0,0,0,1,1,1,3.3175468
22,9,1,0,0,0,0,1,1,484,0,0,0,1,0,0,0
23,12,1,0,0,0,0,1,1,529,0,0,1,0,0,1,11.238156
32,11,1,0,0,0,0,1,1,1024,0,0,0,1,1,1,0
22,16,1,0,0,0,0,1,1,484,0,0,0,1,0,0,8.8940248
19,9,1,0,0,0,0,1,1,361,0,0,0,1,0,0,5.5667844
21,13,1,0,0,0,0,1,1,441,0,0,0,1,0,1,15.757673
18,8,1,0,0,0,0,1,1,324,0,0,1,0,1,1,0
27,10,1,0,1,0,0,1,1,729,0,0,0,1,0,0,5.6911268
17,7,1,0,0,0,0,1,1,289,0,0,0,1,0,1,.59788263
19,10,1,0,0,0,0,1,1,361,0,0,0,1,1,1,6.0979066
27,13,1,0,0,0,0,1,1,729,0,0,0,1,0,0,12.594175
23,10,1,0,0,0,0,1,1,529,0,0,0,1,0,1,5.4560928
40,12,1,0,0,0,0,1,1,1600,0,0,0,1,1,0,4.2337017
26,12,1,0,0,0,0,1,1,676,0,0,0,1,0,0,13.110955
23,11,1,0,0,0,0,1,1,529,0,0,1,0,0,0,4.432385
24,11,1,0,0,0,0,1,1,576,0,0,0,1,0,1,0
18,10,1,0,0,0,0,1,1,324,0,0,0,1,0,0,0
29,11,1,0,1,0,0,1,1,841,0,0,0,1,0,0,0
25,11,1,0,0,0,0,1,1,625,0,0,0,1,1,1,0
17,10,1,0,0,0,0,1,1,289,0,0,0,1,1,1,21.442232
24,11,1,0,0,0,0,1,1,576,0,0,0,1,0,1,2.8765528
17,10,1,0,0,0,0,1,1,289,0,0,1,0,0,1,4.0569115
48,4,1,0,0,0,0,1,1,2304,0,0,0,1,1,1,7.2377005
25,11,1,0,1,0,0,1,1,625,0,0,0,1,0,1,5.744525
20,12,1,0,0,0,0,1,1,400,0,0,1,0,0,0,0
25,12,1,0,0,0,0,1,1,625,0,0,0,1,0,1,7.1412616
42,14,1,0,0,0,0,1,1,1764,0,0,0,1,0,1,.74122107
25,5,1,0,0,0,0,1,1,625,0,0,0,1,1,1,0
23,12,1,0,1,0,0,1,1,529,0,0,0,1,0,1,.9969359
46,8,1,0,1,0,0,1,1,2116,0,0,0,1,0,0,4.0349841
24,10,1,0,0,0,0,1,1,576,0,0,1,0,0,0,0
21,12,1,0,0,0,0,1,1,441,0,0,0,1,1,1,5.9561872
17,8,1,0,0,0,0,1,1,289,0,0,0,1,1,1,9.5006094
20,11,1,0,0,0,0,1,1,400,0,0,0,1,0,1,11.110368
25,11,1,0,1,0,0,1,1,625,0,0,1,0,0,0,3.5644648
17,8,1,0,0,0,0,1,1,289,0,0,1,0,0,0,0
17,9,1,0,0,0,0,1,1,289,0,0,1,0,0,1,11.879424
25,5,1,0,0,0,0,1,1,625,0,0,0,1,1,1,.35248342
